iter	Passed	Remaining
442	1573759	557743
443	1577157	554136
444	1580483	550505
445	1583919	546913
446	1587099	543235
447	1590650	539684
448	1593876	536025
449	1597015	532338
450	1600238	528682
451	1603484	525034
452	1606642	521360
453	1609904	517722
454	1613193	514094
455	1616552	510490
456	1619936	506894
457	1623230	503272
458	1626667	499695
459	1629817	496031
460	1632997	492378
461	1636372	488786
462	1639684	485176
463	1643126	481605
464	1646786	478099
465	1650414	474582
466	1653902	471025
467	1657334	467453
468	1660865	463909
469	1664494	460391
470	1668013	456844
471	1671626	453322
472	1675489	449867
473	1679050	446329
474	1682525	442769
475	1686126	439242
476	1689568	435674
477	1692998	432104
478	1696939	428663
479	1700532	425133
480	1704118	421601
481	1707767	418084
482	1711205	414515
483	1714864	411000
484	1718458	407469
485	1721829	403886
486	1725344	400336
487	1728874	396790
488	1732437	393252
489	1736184	389755
490	1739735	386214
491	1743167	382646
492	1746487	379055
493	1749937	375492
494	1753662	371989
495	1757217	368448
496	1760697	364893
497	1764273	361357
498	1767854	357822
499	1771367	354273
500	1774754	350699
501	1778177	347134
502	1781573	343563
503	1785058	340011
504	1788610	336471
505	1792185	332935
506	1795803	329407
507	1799254	325849
508	1802739	322297
509	1806153	318733
510	1809595	315174
511	1813147	311634
512	1816772	308107
513	1820157	304539
514	1823615	300985
515	1827014	297420
516	1830493	293870
517	1833994	290323
518	1837596	286792
519	1840734	283189
520	1843921	279596
521	1847262	276027
522	1850437	272435
523	1853787	268869
524	1857039	265291
525	1860461	261737
526	1863817	258175
527	1867021	254593
528	1870468	251045
529	1873598	247456
530	1877036	243908
531	1880181	240323
532	1883578	236772
533	1886792	233199
534	1890178	229647
535	1893390	226076
536	1896706	222518
537	1899957	218954
538	1903224	215392
539	1906467	211829
540	1909700	208266
541	1913221	204735
542	1916474	201176
543	1919989	197645
544	1923478	194112
545	1926916	190574
546	1930184	187019
547	1933566	183477
548	1937181	179956
549	1940507	176409
550	1943945	172873
551	1947393	169338
552	1950758	165796
553	1954326	162272
554	1957647	158728
555	1961585	155233
556	1965376	151725
557	1968865	148194
558	1972338	144661
559	1975901	141135
560	1979486	137611
561	1982947	134078
562	1986482	130550
563	1990055	127024
564	1993589	123496
565	1997094	119966
566	2000574	116435
567	2003941	112898
568	2007355	109363
569	2010940	105838
570	2014657	102320
571	2018436	98804
572	2021916	95273
573	2025417	91743
574	2029059	88219
575	2032527	84688
576	2036052	81159
577	2039480	77627
578	2042985	74097
579	2046471	70567
580	2049936	67037
581	2053529	63511
582	2056923	59978
583	2060370	56448
584	2064061	52924
585	2067598	49396
586	2070913	45863
587	2074208	42330
588	2077588	38800
589	2081313	35276
590	2085002	31751
591	2088806	28227
592	2092375	24699
593	2096137	21173
594	2099863	17645
595	2103591	14118
596	2107233	10589
597	2110940	7060
598	2114864	3530
599	2118817	0
