iter	MultiClass
443	0.340814555
444	0.3402349654
445	0.3393381716
446	0.3390542956
447	0.3381437118
448	0.3373918566
449	0.3370027237
450	0.3367164695
451	0.336269062
452	0.3360183957
453	0.3354368503
454	0.3348413087
455	0.3344471023
456	0.3336330702
457	0.3331568931
458	0.3324493242
459	0.3321301637
460	0.3317702882
461	0.3312521624
462	0.3308061933
463	0.330405011
464	0.3297241188
465	0.3292336512
466	0.3290214686
467	0.3285622815
468	0.3282702897
469	0.3274799922
470	0.3270438481
471	0.3266316566
472	0.3260303963
473	0.3255685039
474	0.3253012452
475	0.3247536539
476	0.3245032206
477	0.3242121203
478	0.3236338993
479	0.323235233
480	0.3226073323
481	0.3218457098
482	0.321534256
483	0.3209060337
484	0.3204108115
485	0.3202163163
486	0.3197961322
487	0.3193807461
488	0.3188016243
489	0.3182739567
490	0.3177586346
491	0.31733936
492	0.3170671492
493	0.316545836
494	0.3155105835
495	0.3151617808
496	0.3146996831
497	0.31415141
498	0.3136615559
499	0.3132706954
500	0.313017516
501	0.3125952871
502	0.3123294418
503	0.3119078602
504	0.3114800746
505	0.3109946292
506	0.310647734
507	0.3104765439
508	0.3102583854
509	0.3099127967
510	0.3095637918
511	0.3090327359
512	0.3085802241
513	0.3082095217
514	0.3079137086
515	0.3076151506
516	0.3074345977
517	0.3071315378
518	0.3064358446
519	0.306238351
520	0.3059923612
521	0.3053984484
522	0.3051007102
523	0.3045819437
524	0.3041519883
525	0.3037399654
526	0.3030097679
527	0.3025347139
528	0.3019132077
529	0.301699121
530	0.3011156462
531	0.3008343684
532	0.3004185243
533	0.3001709562
534	0.2996530888
535	0.2993790276
536	0.2991125754
537	0.2986849895
538	0.2983050585
539	0.2979510917
540	0.2976855649
541	0.297302084
542	0.2971300213
543	0.2968130391
544	0.296270508
545	0.2957167326
546	0.2955091036
547	0.2952006073
548	0.2945718292
549	0.2942711969
550	0.2939536398
551	0.293395299
552	0.2930886837
553	0.2926638959
554	0.2924417113
555	0.2918730293
556	0.2914215763
557	0.2909680458
558	0.2907698127
559	0.2904857424
560	0.2900496565
561	0.2897097988
562	0.2889883417
563	0.2887604313
564	0.2882595678
565	0.2878332921
566	0.2874444156
567	0.287248792
568	0.2869604699
569	0.286567736
570	0.2859633732
571	0.2852967661
572	0.2849571923
573	0.2846021919
574	0.2840384016
575	0.2837248612
576	0.2834013407
577	0.2829784333
578	0.2825240308
579	0.2820414594
580	0.2816656826
581	0.2811904488
582	0.2808408779
583	0.2803142012
584	0.2795307994
585	0.2787806891
586	0.2785293075
587	0.2782163953
588	0.2778325227
589	0.2773115432
590	0.2770379095
591	0.2767548388
592	0.2765335783
593	0.2763206917
594	0.2759966179
595	0.2756822851
596	0.2754001162
597	0.2749992451
598	0.2743834669
599	0.2736474964
